Anime Name,Condition,Views,Latest Episode
Do It Yourself!!,Completed,"169,416","012
"
Handyman Saitou in Another World,Ongoing,"881,434","011
"
Blue Period,Completed,"706,432","012
"
"So I'm a Spider, So What?",Completed,"5,566,626","024
"
A Couple of Cuckoos,Completed,"992,656","024
"
I’m Quitting Heroing,Completed,"2,181,483","012
"
SHADOWS HOUSE,Completed,"560,816","013
"
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,Ongoing,"1,361,037","011
"
Moriarty the Patriot,Completed,"1,316,817","011
"
HIGH CARD,Ongoing,"251,819","011
"
ODD TAXI,Completed,"687,527","013
"
She is also my Girlfriend,Completed,"902,064","012
"
World's End Harem,Completed,"2,202,873","011
"
How a Realist Hero Rebuilt the Kingdom,Completed,"3,705,827","013
"
Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs,Completed,"2,059,153","012
"
Sasaki to Miyano,Completed,"634,752","012
"
Akebi’s Sailor Uniform,Completed,"272,066","012
"
The Dawn of the Witch,Completed,"557,500","012
"
Battle Game in 5 Seconds,Completed,"945,384","012
"
Love Flops,Completed,"440,114","012
"
Sonny Boy,Completed,"466,963","012
"
Vermeil in Gold,Completed,"1,360,246","012
"
Fruits Basket Season 2,Completed,"3,170,412","025
"
Peach Boy Riverside,Completed,"1,167,255","012
"
"I'm standing on 1,000,000 lives.",Completed,"3,704,402","012
"
Uzaki-chan Wants to Hang Out!,Completed,"3,930,981","012
"
In/Spectre Season 2,Ongoing,"214,978","011
"
Akiba Maid War,Completed,"337,748","012
"
Beast Tamer,Completed,"1,356,802","013
"
Mother of the Goddess' Dormitory,Completed,"958,215","010
"
Golden Kamuy 3,Completed,"864,011","012
"
Aggretsuko: Season 3,Completed,"128,891","010
"
Boruto: Naruto Next Generations,Ongoing,"162,491,647","292
"
Bungo Stray Dogs Season 4,Ongoing,"399,263","012
"
Urusei Yatsura (2022),Ongoing,"527,366","022
"
Aquatope of White Sand,Completed,"351,632","024
"
Skeleton Knight in Another World,Completed,"2,145,280","012
"
Welcome to Demon School! Iruma-kun Season 2,Completed,"3,084,114","021
"
TRIGUN STAMPEDE,Ongoing,"389,859","011
"
Welcome to Demon School! Iruma-kun Season 3,Ongoing,"1,094,558","021
"
The Yakuza's Guide to Babysitting,Completed,"541,090","012
"
My Next Life as a Villainess: All Routes Lead to Doom! X,Completed,"908,478","012
"
Noblesse,Completed,"3,915,597","013
"
TSUKIMICHI -Moonlit Fantasy-,Completed,"3,639,320","012
"
Ningen Fushin: Adventurers Who Don’t Believe in Humanity Will Save the World,Ongoing,"988,270","012
"
Great Pretender,Completed,"1,342,374","023
"
Our Last Crusade or the Rise of a New World,Completed,"3,727,706","012
"
RWBY: Ice Queendom,Completed,"334,872","012
"
Chillin’ in My 30s after Getting Fired from the Demon King’s Army,Ongoing,"1,011,831","011
"
Ascendance of a Bookworm Season 3,Completed,"583,777","036
"
The Vampire Dies in No Time,Completed,"310,968","012
"
NieR:Automata Ver 1.1a,Ongoing,"291,467","008
"
Engage Kiss,Completed,"801,703","013
"
Food Wars! The Fifth Plate,Completed,"4,852,614","013
"
Spy Classroom,Ongoing,"283,886","010
"
Spirit Chronicles,Completed,"2,651,402","012
"
Higurashi: When They Cry - New,Completed,"1,812,542","024
"
The Executioner and Her Way of Life,Completed,"650,549","012
"
Pretty Boy Detective Club,Completed,"185,016","012
"
Shadows House 2nd Season,Completed,"167,268","012
"
The Fruit of Evolution: Before I Knew It My Life Had It Made,Completed,"1,889,227","012
"
Monster Girl Doctor,Completed,"2,276,433","012
"
The Heike Story,Completed,"194,507","011
"
Malevolent Spirits: Mononogatari,Ongoing,"192,795","011
"
Love Live! Perfect Dream Project,Completed,"358,929","013
"
Berserk: The Golden Age Arc - Memorial Edition,Completed,"243,095","013
"
The Iceblade Sorcerer Shall Rule the World,Ongoing,"1,104,152","011
"
Black Summoner,Completed,"2,022,058","012
"
I'm the Villainess so I'm Taming the Final Boss,Completed,"673,295","012
"
The Dungeon of Black Company,Completed,"1,157,742","012
"
In the Land of Leadale,Completed,"1,174,603","012
"
By the Grace of the Gods Season 2,Ongoing,"680,664","011
"
Hang On! Climbing Girls,Completed,"414,642","012
"
By the Grace of the Gods,Completed,"3,830,496","012
"
Yashahime: Princess Half-Demon,Completed,"1,305,883","024
"
The Bears Bear a Bare Kuma,Completed,"1,383,429","012
"
Platinum End,Completed,"1,575,842","024
"
My Isekai Life: I Gained a Second Class and Became the Strongest Sage in the World!,Completed,"2,239,488","012
"
MARS RED,Completed,"463,083","013
"
Princess Connect! Re:Dive Season 2,Completed,"351,536","012
"
"The Fruit of Evolution 2: Before I Knew It, My Life Had It Made",Ongoing,"555,304","010
"
"Play it Cool, Guys",Ongoing,"221,236","023
"
Sugar Apple Fairy Tale,Ongoing,"190,709","011
"
Opera Girl!!,Completed,"177,433","013
"
The Strongest Sage with the Weakest Crest,Completed,"2,206,128","012
"
The Duke of Death and His Black Maid,Completed,"696,671","012
"
Fena: Pirate Princess,Completed,"717,462","012
"
She Professed Herself Pupil of the Wise Man,Completed,"862,934","012
"
Taisho Otome Fairy Tale,Completed,"340,529","012
"
Senpai is Mine,Completed,"400,676","012
"
Assault Lily,Completed,"575,863","012
"
Slow Loop,Completed,"160,674","012
"
LINK CLICK,Completed,"645,547","011
"
The Vampire Dies in No Time Season 2,Ongoing,"72,442","011
"
YUREI DECO,Completed,"40,434","012
"
One Room 3,Completed,"222,314","012
"
UNCLE FROM ANOTHER WORLD,Completed,"1,558,885","013
"
Detective Conan,Ongoing,"100,410,828","1077
"
"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 2",Ongoing,"806,691","009
"
The Great Jahy Will Not Be Defeated!,Completed,"688,733","020
"
MEGALOBOX 2: NOMAD,Completed,"695,215","013
"
"Science Fell in Love, So I Tried to Prove It Season 2",Completed,"211,432","012
"
The Maid I Recently Hired is Mysterious,Completed,"345,515","011
"
I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,Completed,"1,491,423","012
"
Cheat Pharmacist's Slow Life: Making a Drugstore in Another World,Completed,"690,535","012
"
SAKUGAN,Completed,"295,701","012
"
"Saving 80,000 Gold in Another World for My Retirement",Ongoing,"454,326","011
"
Dance Dance Danseur,Completed,"116,140","011
"
The Demon Girl Next Door Season 2,Completed,"190,792","012
"
SUPER HXEROS,Completed,"2,163,070","012
"
Ryman's Club,Completed,"179,027","012
"
Hypnosis Mic: Division Rap Battle - Rhyme Anima,Completed,"375,070","013
"
The Night Beyond the Tricornered Window,Completed,"226,656","012
"
Is the Order a Rabbit? BLOOM,Completed,"321,085","012
"
Kiyo in Kyoto: From the Maiko House,Completed,"108,363","012
"
"I, Tsushima",Ongoing,"76,908","018
"
Morfonication,Completed,"15,624","002
"
The Misfit of Demon King Academy: History’s Strongest Demon King Reincarnates and Goes to School with His Descendants Season 2,Ongoing,"952,650","006
"
Mobile Suit Gundam the Witch from Mercury,Completed,"872,159","012
"
Arknights: Prelude to Dawn,Completed,"236,392","008
"
The Honor Student at Magic High School,Completed,"805,311","013
"
Guild of Depravity,Completed,"633,697","[Uncensored]
"
Princess of the Bibliophile,Completed,"254,206","012
"
Love Live! Superstar!!,Completed,"218,384","012
"
The Fire Hunter,Ongoing,"106,627","010
"
Restaurant to Another World 2,Completed,"581,136","012
"
"Don’t Hurt Me, My Healer!",Completed,"190,535","012
"
FUUTO PI,Completed,"241,620","012
"
BIRDIE WING: Golf Girls' Story,Completed,"146,685","013
"
Lapis Re:LiGHTs,Completed,"229,326","012
"
Prima Doll,Completed,"80,204","012
"
Dropout Idol Fruit Tart,Completed,"239,487","012
"
Encouragement of Climb: Next Summit,Completed,"75,622","012
"
Yatogame-chan Kansatsu Nikki Yonsatsume,Completed,"30,161","010
"
Kubo Won't Let Me Be Invisible,Ongoing,"276,719","006
"
"I'm standing on 1,000,000 lives. Season 2",Completed,"1,284,482","012
"
Endo and Kobayashi Live! The Latest on Tsundere Villianess Lieselotte,Ongoing,"227,579","011
"
Ayakashi Triangle,Ongoing,"127,762","006.5
"
Deaimon,Completed,"194,720","012
"
Peter Grill and the Philosopher's Time,Completed,"2,484,919","012
"
To Become a Real Heroine! The Unpopular Girl and the Secret Task,Completed,"160,041","012
"
Obey Me!,Completed,"293,749","012
"
Warlords of Sigrdrifa,Completed,"442,327","012
"
Gal & Dino,Completed,"124,912","012
"
Muv-Luv Alternative,Completed,"383,899","012
"
Deji Meets Girl,Completed,"73,659","012
"
MAGATSU WAHRHEIT,Completed,"435,876","012
"
Love of Kill,Completed,"500,670","012
"
Ahiru no Sora,Completed,"4,920,552","050
"
Orient,Completed,"692,619","012
"
APPARE-RANMAN!,Completed,"597,544","013
"
Tokyo 24th Ward,Completed,"222,046","012
"
World Trigger 3rd Season,Completed,"985,593","014
"
The Daily Life of the Immortal King Season 3,Completed,"676,039","012
"
In the Heart of Kunoichi Tsubaki,Completed,"153,279","013
"
Visual Prison,Completed,"161,546","012
"
GIBIATE,Completed,"507,025","012
"
"Farewell, My Dear Cramer",Completed,"161,428","013
"
Dolls' Frontline,Ongoing,"199,472","012
"
Pop Team Epic 2,Completed,"101,605","012
"
Shine On! Bakumatsu Bad Boys!,Completed,"214,453","012
"
RPG Fudousan,Completed,"156,452","012
"
Peter Grill and the Philosopher’s Time - Super Extra,Completed,"327,425","[Uncensored]
"
Selection Project,Completed,"113,907","013
"
Tsurune - The Linking Shot -,Ongoing,"114,596","012
"
Kingdom Season 3,Completed,"1,700,379","026
"
Love Live! Superstar!! 2,Ongoing,"80,434","012
"
Four People and Their Respective Lies,Completed,"82,415","011
"
THE LAST SUMMONER,Ongoing,"547,160","012
"
CUE!,Completed,"109,371","024
"
Can I Make Your Ears Happy in 180 Seconds?,Ongoing,"169,689","012
"
Kingdom 4,Completed,"840,922","026
"
Tropical-Rouge! Pretty Cure,Completed,"418,897","046
"
Delicious Party♡Precure,Ongoing,"217,518","045
"
A3! SEASON AUTUMN & WINTER,Completed,"148,624","012
"
Re:Zero Break Time 2nd Season,Ongoing,"365,024","025
"
SHAMAN KING (2021),Completed,"3,636,811","052
"
JoJo's Bizarre Adventure: STONE OCEAN Part 2,Completed,"687,921","012
"
Revenger,Ongoing,"300,804","011
"
Raven of the Inner Palace,Completed,"203,413","013
"
Higurashi: When They Cry - SOTSU,Completed,"425,751","015
"
Dragon Quest: The Adventure of Dai (2020),Completed,"2,518,716","100
"
Management of Novice Alchemist,Completed,"440,093","012
"
Kaina of the Great Snow Sea,Ongoing,"158,616","011
"
Magia Record: Puella Magi Madoka Magica Side Story Season 2,Completed,"217,989","008
"
Diary of Our Days at the Breakwater,Completed,"334,939","012
"
Utawarerumono Mask of Truth,Completed,"334,089","028
"
Tawawa on Monday 2,Completed,"296,457","(Special)
"
Healer Girl,Completed,"73,972","012
"
Grandmaster of Demonic Cultivation 3,Ongoing,"387,620","012
"
Yashahime: Princess Half-Demon: The Second Act,Completed,"617,435","048
"
Futsal Boys!!!!!,Completed,"168,302","012
"
AMAIM Warrior at the Borderline,Completed,"351,773","013
"
LUPIN THE 3rd PART 6,Completed,"369,636","024
"
Rail Romanesque,Completed,"135,663","012
"
IDOLiSH7 S2,Completed,"235,576","015
"
Heaven Official's Blessing,Completed,"652,053","011
"
Let's Make a Mug Too Season 2,Completed,"56,272","012
"
Muv-Luv Alternative Season 2,Completed,"150,130","012
"
Shadowverse,Completed,"690,362","048
"
IDOLiSH7: Third BEAT!,Completed,"95,357","013
"
Mewkledreamy,Completed,"267,962","048
"
"With a Dog AND a Cat, Every Day is Fun",Completed,"206,005","024
"
"Suddenly, Egyptian Gods",Completed,"84,510","010
"
My Life as Inukai-san’s Dog,Ongoing,"401,653","[Uncensored]
"
Pokémon Journeys: The Series,Completed,"8,483,589","136
"
The World Ends With You The Animation,Completed,"224,303","012
"
KanColle: Someday in that Sea,Ongoing,"64,064","007
"
TOKYO MEW MEW NEW,Completed,"115,702","012
"
GIANT BEASTS OF ARS,Ongoing,"189,778","011
"
King's Raid: Successors of the Will,Completed,"2,444,269","026
"
The Gymnastics Samurai,Completed,"257,773","011
"
Tribe Nine,Completed,"212,525","012
"
Deep Insanity: THE LOST CHILD,Completed,"302,543","012
"
Love Live! Nijigasaki High School Idol Club Season 2,Completed,"87,806","013
"
Build Divide: Code Black,Completed,"295,663","012
"
Smile of the Arsnotoria the Animation,Completed,"80,087","012
"
Black Rock Shooter - Dawn Fall,Completed,"161,813","012
"
Ippon! again,Ongoing,"55,245","011
"
Tesla Note,Completed,"179,896","013
"
I Tried Asking In Dogeza,Completed,"1,327,480","(Special)
"
Fanfare of Adolescence,Completed,"80,971","013
"
Yuki Yuna is a Hero: The Great Mankai Chapter,Completed,"128,409","012
"
Yowamushi Pedal: LIMIT BREAK,Ongoing,"294,065","023
"
D4DJ All Mix,Ongoing,"31,590","011
"
Muhyo & Roji’s Bureau of Supernatural Investigation Season 2,Completed,"273,129","024
"
Maesetsu! Opening Act,Completed,"96,847","012
"
Eternal Boys,Ongoing,"69,743","024
"
Legend of the Galactic Heroes: Die Neue These Season 4,Completed,"152,639","012
"
Battle Athletes Victory ReSTART!,Completed,"62,647","012
"
Theatre of Darkness: Yamishibai 9,Completed,"127,065","013
"
Drowning Sorrows in Raging Fire,Completed,"119,039","012
"
CARDFIGHT!! VANGUARD will+Dress,Completed,"30,730","013
"
Theatre of Darkness: Yamishibai 10,Ongoing,"78,235","013
"
Don't Call Us A JUNK GAME!,Completed,"103,324","012
"
TenSura - OVA,Completed,"1,462,829","005
"
A Certain Scientific Railgun T,Completed,"1,602,324","025
"
The Lucifer and Biscuit Hammer,Completed,"302,151","024
"
Yojouhan Time Machine Blues,Completed,"44,567","006
"
Miss Kobayashi's Dragon Maid S Short Animation Series,Completed,"346,611","013
"
The Legend of Heroes - Trails of Cold Steel - Northern War,Ongoing,"210,852","011
"
No Guns Life Season 2,Completed,"398,800","024
"
Love All Play,Completed,"217,334","024
"
NIGHT HEAD 2041,Completed,"233,982","012
"
The tale of outcasts,Ongoing,"227,851","011
"
ORIENT Part 2,Completed,"330,099","024
"
Mr Love: Queen's Choice,Completed,"412,475","012
"
Dropkick on my Devil!! X,Completed,"114,350","012
"
My Master Has No Tail,Completed,"71,755","013
"
Blue Reflection Ray,Completed,"171,292","024
"
PuraOre! ~Pride of Orange~,Completed,"78,870","012
"
TEPPEN!!!!!!!!!!!!!!! Laughing 'til You Cry,Completed,"43,019","012
"
Phantom of the Idol,Completed,"70,030","010
"
Pokémon Evolutions,Completed,"93,462","008
"
Kaginado,Completed,"59,351","012
"
SHINEPOST,Completed,"60,766","012
"
Technoroid OVERMIND,Ongoing,"65,740","011
"
Strike Witches: Road to Berlin,Completed,"264,377","012
"
Shenmue the Animation,Completed,"184,200","013
"
Extreme Hearts,Completed,"59,181","012
"
D4DJ First Mix,Completed,"160,975","013
"
Extra Olympia Kyklos,Completed,"133,305","024
"
IDOLiSH7: Third BEAT! Part 2,Ongoing,"43,892","017
"
Healin' Good Pretty Cure,Completed,"588,789","045
"
Mr. Osomatsu 3,Completed,"335,315","025
"
I'M KODAMA KAWASHIRI,Completed,"69,206","024
"
Grand Blues!,Completed,"121,536","012
"
Full-Time Magister 5,Completed,"408,936","012
"
Estab Life: Great Escape,Completed,"70,741","012
"
Musashino!,Completed,"35,096","012
"
Please Take My Brother Away 4,Ongoing,"166,353","012
"
GLOOMY THE NAUGHTY GRIZZLY,Completed,"51,668","012
"
VAZZROCK THE ANIMATION,Completed,"40,596","013
"
Gundam Build Drivers Re:RISE 2nd Season,Completed,"217,238","013
"
Cardfight!! Vanguard overDress Season 2,Completed,"71,712","025
"
Cardfight!! Vanguard Gaiden: If,Ongoing,"158,969","026
"
Cooking with Valkyries II,Completed,"63,196","008
"
EDENS ZERO,Completed,"2,155,480","025
"
Wotakoi: Love is Hard for Otaku,Completed,"5,842,541","(OVA)
"
RE-MAIN,Completed,"384,747","012
"
Scarlet Nexus,Completed,"848,897","026
"
Super Dragon Ball Heroes: Universe Mission,Completed,"5,931,316","020
"
Golden Kamuy Season 4,Ongoing,"144,648","006
"
Shin Chan,Ongoing,"1,627,779","996
"
Strike the Blood Fourth,Completed,"985,002","012
"
Seitokai Yakuindomo 2 - OVA,Completed,"734,796","019
"
The King's Avatar 2,Completed,"2,177,414","012
"
Fate/Grand Carnival - OVA,Ongoing,"146,870","002
"
Yuuna and the Haunted Hot Springs - OVA,Completed,"795,000","(Uncensored)
"
Miss Shachiku and the Little Baby Ghost,Completed,"109,486","012
"
Allied Air Force Magical Idols Luminous Witches,Completed,"71,566","012
"
Digimon Ghost Game,Ongoing,"597,019","066
"
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,Completed,"142,079","012
"
D_CIDE TRAUMEREI THE ANIMATION,Completed,"242,639","013
"
Doraemon (2005),Ongoing,"1,564,749","730
"
RUMBLE GARANNDOLL,Completed,"115,572","012
"
Shikizakura,Completed,"166,409","012
"
Yu-Gi-Oh!: Sevens,Completed,"885,044","092
"
